Species	Category	Count	Coverage	Coverage_percent
Eparvispora	LINE	255	339680	.882
Eparvispora	LTR	957	1484898	3.858
Eparvispora	PLE	16	3242	.008
Eparvispora	RC	112	76191	.197
Eparvispora	Retroposon	17	6255	.016
Eparvispora	SINE	21	5079	.013
Eparvispora	Uncertain	1048	156056	.405
Eparvispora	Unknown	3099	1738875	4.518
Fmarina	DNA	549	411733	1.157
Fmarina	LINE	105	60015	.168
Fmarina	LTR	2555	4998461	14.050
Fmarina	PLE	0	0	0
Fmarina	RC	569	656568	1.845
Fmarina	Retroposon	1	117	0
Fmarina	SINE	4	533	.001
Fmarina	Uncertain	145	20900	.058
Fmarina	Unknown	3765	3261901	9.168
Fvelutipes	DNA	841	667581	1.791
Fvelutipes	LINE	163	113892	.305
Fvelutipes	LTR	1118	1792215	4.810
Fvelutipes	PLE	14	2986	.008
Fvelutipes	RC	254	192501	.516
Fvelutipes	Retroposon	2	310	0
Fvelutipes	SINE	19	3817	.010
Fvelutipes	Uncertain	83	13484	.036
Fvelutipes	Unknown	5711	4084685	10.964
Girrigatus	DNA	1520	2110882	7.610
Girrigatus	LINE	220	306858	1.106
Girrigatus	LTR	1795	2330828	8.403
Girrigatus	PLE	16	4363	.015
Girrigatus	RC	366	417344	1.504
Girrigatus	Retroposon	0	0	0
Girrigatus	SINE	4	771	.002
Girrigatus	Uncertain	47	6306	.022
Girrigatus	Unknown	5698	4648774	16.761
Gresinaceum	DNA	375	165643	.403
Gresinaceum	LINE	179	163038	.397
Gresinaceum	LTR	913	1630756	3.975
Gresinaceum	PLE	10	3144	.007
Gresinaceum	RC	303	343359	.837
Gresinaceum	Retroposon	0	0	0
Gresinaceum	SINE	10	2024	.004
Gresinaceum	Uncertain	144	19693	.048
Gresinaceum	Unknown	5313	3152874	7.686
Hcoccinea	DNA	7182	7589608	11.653
Hcoccinea	LINE	900	1604342	2.463
Hcoccinea	LTR	6114	10129790	15.554
Hcoccinea	PLE	307	188210	.288
Hcoccinea	RC	1798	2942376	4.517
Hcoccinea	Retroposon	0	0	0
Hcoccinea	SINE	5	914	.001
Hcoccinea	Uncertain	261	39526	.060
Hcoccinea	Unknown	19032	14377826	22.076
Hcoralloides	DNA	657	514627	1.288
Hcoralloides	LINE	305	320342	.802
Hcoralloides	LTR	1874	3660960	9.166
Hcoralloides	PLE	14	3512	.008
Hcoralloides	RC	283	269662	.675
Hcoralloides	Retroposon	0	0	0
Hcoralloides	SINE	19	4004	.010
Hcoralloides	Uncertain	200	28071	.070
Hcoralloides	Unknown	7713	5574252	13.956
Herinaceus	DNA	774	557405	1.249
Herinaceus	LINE	304	348289	.780
Herinaceus	LTR	3086	8101502	18.160
Herinaceus	PLE	13	3433	.007
Herinaceus	RC	366	605218	1.356
Herinaceus	Retroposon	0	0	0
